Year,Skill,Family,Special eligibility,Total immigrant,%skill,%family,%special
2017/2018,111099,51082,236,162417,68.40355382,31.4511412,0.145304987
2018/2019,109713,50495,115,160323,68.43247694,31.49579287,0.071730195
2019/2020,95843,44442,81,140366,68.28078025,31.66151347,0.057706282
2020/2021,"79,620",80378,54,160052,49.74633244,50.21992852,0.033739035
2021/2022,"89,063",54294,199,143556,62.0405974,37.82078074,0.138621862
