expense,min,current,max
"Meal, Inexpensive Restaurant",15,25,50
Cappuccino (regular),4,5.07,7.9
Coke/Pepsi (0.33 liter bottle),3,3.91,5
Water (0.33 liter bottle),3,3.5,5
"Milk (regular), (1 liter)",1.25,2.33,3.8
Loaf of Fresh White Bread (500g),1.99,3.49,6.5
"Rice (white), (1kg)",1.8,3.45,5.1
Eggs (a dozen),3.9,5.45,8.16
Chicken Fillets (1kg),7,12.94,18.75
Domestic Beer (0.5 liter bottle),3,6.87,11
Imported Beer (0.33 liter bottle),3,7.14,12
